gene	logFC	logCPM	LR	PValue	FDR	de_family	de_method	de_type	cell_type
Gm50335	0.863407718347606	-0.300274656998675	2.17518830516878	0.140252348121147	0.648684956472493	pseudobulk	edgeR	LRT	Interneurons
Gm37336	-1.46295130306703	-1.27277859444857	2.17517261318211	0.140253778680609	0.648684956472493	pseudobulk	edgeR	LRT	Interneurons
Rnf19a	-0.176381428501951	5.39046738100718	2.17484238923263	0.140283887337101	0.648684956472493	pseudobulk	edgeR	LRT	Interneurons
Tmem132d	-0.161076156084303	8.34073377675327	2.17410264491824	0.140351360961448	0.648684956472493	pseudobulk	edgeR	LRT	Interneurons
Gm28932	-0.851406474736921	-0.406512895363494	2.17274304143	0.140475468302142	0.648684956472493	pseudobulk	edgeR	LRT	Interneurons
Gpr165	-0.796341211588086	0.332916487612057	2.1725082113093	0.140496916546975	0.648684956472493	pseudobulk	edgeR	LRT	Interneurons
Snw1	0.216447312756219	4.39505949469316	2.17142492243632	0.140595906529214	0.648684956472493	pseudobulk	edgeR	LRT	Interneurons
4833422C13Rik	-0.271934323567303	2.90585019156791	2.17137491171508	0.140600478356068	0.648684956472493	pseudobulk	edgeR	LRT	Interneurons
Itm2a	0.454125758661822	1.41753367537685	2.17081735519632	0.140651459773393	0.648684956472493	pseudobulk	edgeR	LRT	Interneurons
Aqp1	-1.71913524753441	-1.54876871056946	2.17072865351917	0.140659572322203	0.648684956472493	pseudobulk	edgeR	LRT	Interneurons
Bricd5	-1.71913524753441	-1.54876871056946	2.17072865351917	0.140659572322203	0.648684956472493	pseudobulk	edgeR	LRT	Interneurons
Dgka	0.197679900774989	3.8985349366754	2.16971709520384	0.140752125412541	0.648684956472493	pseudobulk	edgeR	LRT	Interneurons
Slco2a1	0.515978096737879	0.670167943311162	2.16911281383735	0.140807447108567	0.648684956472493	pseudobulk	edgeR	LRT	Interneurons
Lrrc75aos2	0.905298576276892	-0.432799504286104	2.16871031560616	0.140844309198938	0.648684956472493	pseudobulk	edgeR	LRT	Interneurons
Cwf19l1	0.255196504376716	3.74648487937518	2.16863060429519	0.140851610704643	0.648684956472493	pseudobulk	edgeR	LRT	Interneurons
Gm14408	-0.482692225967667	1.25051205091221	2.16802690569944	0.140906922921447	0.648684956472493	pseudobulk	edgeR	LRT	Interneurons
Klhl8	-0.186663791944975	5.15226160021547	2.16781489115081	0.14092635395816	0.648684956472493	pseudobulk	edgeR	LRT	Interneurons
Snrpd2	-0.288231487896582	2.70927998181763	2.16778658964748	0.14092894800576	0.648684956472493	pseudobulk	edgeR	LRT	Interneurons
Gm15218	0.926448879613938	-0.662454484496715	2.167728542053	0.140934268676242	0.648684956472493	pseudobulk	edgeR	LRT	Interneurons
Gda	-0.235677496609808	5.99437350176808	2.16699523323224	0.141001503552659	0.648684956472493	pseudobulk	edgeR	LRT	Interneurons
Gm2244	-1.71821660594356	-1.54840192776524	2.16661755995033	0.141036145336265	0.648684956472493	pseudobulk	edgeR	LRT	Interneurons
Gm49415	-1.71821660594356	-1.54840192776524	2.16661755995033	0.141036145336265	0.648684956472493	pseudobulk	edgeR	LRT	Interneurons
Itfg2	0.226336473808532	4.43676011643762	2.16435337968099	0.141244026095684	0.648684956472493	pseudobulk	edgeR	LRT	Interneurons
Gm30097	1.42791355973436	-0.978301715351484	2.16378761365103	0.141296024413918	0.648684956472493	pseudobulk	edgeR	LRT	Interneurons
Ndufs1	0.151394111047549	6.17468387889718	2.16368357323307	0.141305588882508	0.648684956472493	pseudobulk	edgeR	LRT	Interneurons
Trbc2	-1.03114139696903	-0.365499410591136	2.16309406127787	0.141359796645287	0.648684956472493	pseudobulk	edgeR	LRT	Interneurons
Gm14341	1.1640421777957	-1.03660266990313	2.16278978731132	0.141387784883552	0.648684956472493	pseudobulk	edgeR	LRT	Interneurons
