gene	logFC	logCPM	LR	PValue	FDR	de_family	de_method	de_type
Brk1	-0.099111467	5.526124512	0.575094173	0.448241699	0.806344008	pseudobulk	edgeR	LRT
Ppp3cc	0.060331622	6.828468723	0.574654343	0.448415309	0.806344008	pseudobulk	edgeR	LRT
Mcts1	-0.102385121	5.92142658	0.573922195	0.448704536	0.806358513	pseudobulk	edgeR	LRT
Fyn	0.064238108	7.294290377	0.573608372	0.448828598	0.806358513	pseudobulk	edgeR	LRT
Strn3	0.05846918	8.21919435	0.572640893	0.4492114	0.806358513	pseudobulk	edgeR	LRT
Usp40	-0.073566335	6.694809458	0.571875216	0.449514716	0.806358513	pseudobulk	edgeR	LRT
Fars2	0.055587522	7.942443291	0.571680588	0.449591867	0.806358513	pseudobulk	edgeR	LRT
Actr8	-0.097203002	5.833372507	0.571330274	0.449730785	0.806358513	pseudobulk	edgeR	LRT
Gabrb3	0.044947066	9.453539716	0.571211221	0.449778011	0.806358513	pseudobulk	edgeR	LRT
Ophn1	0.063356099	7.116341255	0.570681547	0.449988215	0.806358513	pseudobulk	edgeR	LRT
Ttc27	0.092623307	5.78220185	0.570517468	0.450053362	0.806358513	pseudobulk	edgeR	LRT
Gdap2	0.09204522	5.870412366	0.570223158	0.450170253	0.806358513	pseudobulk	edgeR	LRT
Ccar1	0.060772749	7.129522819	0.568968348	0.450669159	0.806939037	pseudobulk	edgeR	LRT
Naa25	0.087321764	5.74559798	0.567979435	0.451062954	0.807181708	pseudobulk	edgeR	LRT
Vgf	0.170291666	5.972326257	0.567749933	0.451154421	0.807181708	pseudobulk	edgeR	LRT
1810013L24Rik	0.092391641	5.843376282	0.567272501	0.451344792	0.807209438	pseudobulk	edgeR	LRT
Mettl17	0.072940211	6.164324045	0.566622534	0.451604161	0.807360499	pseudobulk	edgeR	LRT
Arf5	-0.098108384	6.311960517	0.565719576	0.451964874	0.807692551	pseudobulk	edgeR	LRT
Cntfr	-0.129865284	6.044016419	0.564322138	0.452524011	0.80811687	pseudobulk	edgeR	LRT
Cisd2	-0.073701075	6.150126444	0.563468247	0.452866199	0.80811687	pseudobulk	edgeR	LRT
Ggnbp2	0.049349276	7.564857935	0.563303066	0.45293244	0.80811687	pseudobulk	edgeR	LRT
Tanc2	0.044147914	9.383981821	0.562755063	0.453152311	0.80811687	pseudobulk	edgeR	LRT
Dcaf7	0.075561416	6.291380463	0.562635489	0.453200309	0.80811687	pseudobulk	edgeR	LRT
Map2k5	-0.062360447	7.293016312	0.562504932	0.453252724	0.80811687	pseudobulk	edgeR	LRT
Naaladl2	-0.065100373	8.106088646	0.561469832	0.45366863	0.808233706	pseudobulk	edgeR	LRT
Frmd4b	-0.075379295	7.622273917	0.561131936	0.453804528	0.808233706	pseudobulk	edgeR	LRT
Rnf217	-0.071361978	6.509331558	0.561034972	0.453843537	0.808233706	pseudobulk	edgeR	LRT
Gga2	0.083190187	5.779500238	0.559323826	0.454532812	0.809149039	pseudobulk	edgeR	LRT
Spata5	-0.054359358	7.102128786	0.55784793	0.455128646	0.809624903	pseudobulk	edgeR	LRT
Smim14	-0.087811798	6.055636842	0.557792829	0.455150915	0.809624903	pseudobulk	edgeR	LRT
Cmip	-0.056323461	7.338687863	0.556807572	0.455549388	0.810021562	pseudobulk	edgeR	LRT
Klc2	-0.072219064	6.248288238	0.554862083	0.456337827	0.811111055	pseudobulk	edgeR	LRT
Tmlhe	-0.104807414	5.667549621	0.553017533	0.457087346	0.811852614	pseudobulk	edgeR	LRT
Nlgn2	0.08924338	5.564112895	0.552969746	0.45710679	0.811852614	pseudobulk	edgeR	LRT
Dok5	-0.076719923	6.757769365	0.551811334	0.457578527	0.812279454	pseudobulk	edgeR	LRT
Mapk8ip3	0.061980925	7.235276099	0.551266126	0.457800817	0.812279454	pseudobulk	edgeR	LRT
Catspere2	0.060347895	6.97929005	0.551084196	0.45787503	0.812279454	pseudobulk	edgeR	LRT
Zranb1	0.067355023	6.480973343	0.550487731	0.458118476	0.812399111	pseudobulk	edgeR	LRT
Mast2	0.045688384	8.34828544	0.549216344	0.458638072	0.813008196	pseudobulk	edgeR	LRT
Plcg1	-0.083375168	6.245478251	0.548424537	0.458962143	0.813209906	pseudobulk	edgeR	LRT
Pcdh7	0.075583918	10.00136731	0.54807771	0.459104206	0.813209906	pseudobulk	edgeR	LRT
App	0.04238574	9.818038781	0.547083711	0.459511742	0.813339477	pseudobulk	edgeR	LRT
Bbof1	-0.080562626	6.149580914	0.547039806	0.459529757	0.813339477	pseudobulk	edgeR	LRT
Tmed8	0.105933418	5.692420371	0.546020051	0.459948474	0.813512057	pseudobulk	edgeR	LRT
Cdk12	0.063015414	7.038913338	0.545459165	0.460179036	0.813512057	pseudobulk	edgeR	LRT
Rpl18a	-0.135243234	5.643794652	0.545316349	0.460237772	0.813512057	pseudobulk	edgeR	LRT
Runx2	0.067680552	8.301535116	0.545086778	0.460332213	0.813512057	pseudobulk	edgeR	LRT
Nhs	-0.06103194	8.421737434	0.543474052	0.460996522	0.814374262	pseudobulk	edgeR	LRT
Hsd17b4	0.079897457	6.14939583	0.542439132	0.461423626	0.81481693	pseudobulk	edgeR	LRT
Itm2b	-0.101384053	8.045925469	0.541433864	0.461839094	0.815238721	pseudobulk	edgeR	LRT
Xrn2	-0.060806622	7.10824187	0.539398232	0.462682226	0.816201361	pseudobulk	edgeR	LRT
Rpl7a	-0.100134421	5.465192631	0.539263596	0.462738076	0.816201361	pseudobulk	edgeR	LRT
Flywch1	-0.062790892	6.794416312	0.5387349	0.462957498	0.816276475	pseudobulk	edgeR	LRT
Prdm10	-0.095457336	5.86222683	0.537632557	0.463415531	0.816696343	pseudobulk	edgeR	LRT
Vti1b	-0.082147063	6.090865403	0.537310501	0.463549484	0.816696343	pseudobulk	edgeR	LRT
Pola1	-0.064655913	7.223996183	0.53653002	0.463874367	0.816956916	pseudobulk	edgeR	LRT
Shank1	-0.063880226	7.309943107	0.535840841	0.464161547	0.817150915	pseudobulk	edgeR	LRT
Rbx1	0.077197246	6.012063212	0.534998932	0.464512754	0.817255406	pseudobulk	edgeR	LRT
Sult4a1	0.086262862	6.519783033	0.534791544	0.464599332	0.817255406	pseudobulk	edgeR	LRT
Rbm41	0.098815566	5.638634355	0.534425887	0.464752045	0.817255406	pseudobulk	edgeR	LRT
Csmd2	-0.064279581	7.59607589	0.533982494	0.464937332	0.817269887	pseudobulk	edgeR	LRT
Morc2a	-0.074024832	6.058219674	0.533488561	0.465143877	0.817321712	pseudobulk	edgeR	LRT
Slf1	0.064461792	7.130669916	0.532034957	0.465752576	0.817886744	pseudobulk	edgeR	LRT
Micos10	0.088269527	6.040150858	0.53187458	0.465819812	0.817886744	pseudobulk	edgeR	LRT
Lpin2	-0.074938714	6.623084488	0.530217028	0.466515631	0.818797016	pseudobulk	edgeR	LRT
Mkln1	-0.056628579	7.494812944	0.529261152	0.466917652	0.819191138	pseudobulk	edgeR	LRT
Scfd2	0.059251563	7.366791275	0.527780767	0.467541368	0.81979626	pseudobulk	edgeR	LRT
Pkd1	0.055531285	7.495680965	0.527599684	0.467617754	0.81979626	pseudobulk	edgeR	LRT
Rfx3	-0.05290611	7.636591538	0.527156531	0.467804772	0.819811048	pseudobulk	edgeR	LRT
Dcun1d5	-0.093420681	6.665967605	0.526738275	0.467981393	0.819811048	pseudobulk	edgeR	LRT
Crebbp	-0.048464734	7.857027991	0.525598046	0.468463434	0.820344163	pseudobulk	edgeR	LRT
Aifm3	-0.085208001	5.895520241	0.524417106	0.468963528	0.820801282	pseudobulk	edgeR	LRT
Shisa6	-0.120945966	7.105102815	0.524142099	0.469080109	0.820801282	pseudobulk	edgeR	LRT
Eif4a2	-0.077764167	7.149519198	0.523252051	0.469457737	0.82110368	pseudobulk	edgeR	LRT
Prpf39	-0.067971776	6.926443868	0.522690306	0.469696325	0.82110368	pseudobulk	edgeR	LRT
Asph	-0.082559869	7.490517419	0.522477942	0.469786572	0.82110368	pseudobulk	edgeR	LRT
Pcnx	0.079678175	6.923227347	0.521802091	0.470073972	0.821288096	pseudobulk	edgeR	LRT
Unc79	0.052714564	8.686241017	0.521304738	0.470285648	0.821288096	pseudobulk	edgeR	LRT
Mapre1	-0.108643746	5.544872604	0.520975518	0.47042585	0.821288096	pseudobulk	edgeR	LRT
Prkca	0.043753656	9.417375161	0.519277872	0.471149884	0.821873856	pseudobulk	edgeR	LRT
