gene	logFC	logCPM	LR	PValue	FDR	de_family	de_method	de_type	cell_type	perturbation	condition
Itgav	0.582793190241039	6.56636328293943	5.7140447529847	0.0168297192368932	0.662205249978395	pseudobulk	edgeR	LRT	Deep_layer_neurons	Dgcr8_KO	Deep_layer_neurons:Dgcr8_KO
Sdk1	-0.984998793936097	7.48888003491908	5.70266318698611	0.0169391915184545	0.662205249978395	pseudobulk	edgeR	LRT	Deep_layer_neurons	Dgcr8_KO	Deep_layer_neurons:Dgcr8_KO
Rnf157	-0.556616892390467	7.02987728752988	5.6928213008791	0.0170344467037228	0.662205249978395	pseudobulk	edgeR	LRT	Deep_layer_neurons	Dgcr8_KO	Deep_layer_neurons:Dgcr8_KO
Vcp	-0.679515103519858	6.39173895209098	5.68911280283017	0.0170704827703527	0.662205249978395	pseudobulk	edgeR	LRT	Deep_layer_neurons	Dgcr8_KO	Deep_layer_neurons:Dgcr8_KO
Micu3	0.479616081025487	7.18967548298274	5.67917111319906	0.0171674762882952	0.662205249978395	pseudobulk	edgeR	LRT	Deep_layer_neurons	Dgcr8_KO	Deep_layer_neurons:Dgcr8_KO
Grk3	0.536192237283415	6.68493741947127	5.65914717204431	0.017364564504428	0.662205249978395	pseudobulk	edgeR	LRT	Deep_layer_neurons	Dgcr8_KO	Deep_layer_neurons:Dgcr8_KO
Ralgapa2	-0.347773089327785	8.81417438943209	5.64620254699224	0.0174932148289459	0.662205249978395	pseudobulk	edgeR	LRT	Deep_layer_neurons	Dgcr8_KO	Deep_layer_neurons:Dgcr8_KO
Snx12	-0.917728098462417	5.94289192099782	5.63086434998696	0.0176469279206249	0.662205249978395	pseudobulk	edgeR	LRT	Deep_layer_neurons	Dgcr8_KO	Deep_layer_neurons:Dgcr8_KO
Mon2	0.47983875225275	7.0039297131075	5.62752660654438	0.0176805616990123	0.662205249978395	pseudobulk	edgeR	LRT	Deep_layer_neurons	Dgcr8_KO	Deep_layer_neurons:Dgcr8_KO
Adam15	-0.85437957402146	6.01569426538864	5.61279198676981	0.0178298322124305	0.662205249978395	pseudobulk	edgeR	LRT	Deep_layer_neurons	Dgcr8_KO	Deep_layer_neurons:Dgcr8_KO
Osbpl1a	-0.374346806308036	8.1283231506826	5.61077419126511	0.0178503747263597	0.662205249978395	pseudobulk	edgeR	LRT	Deep_layer_neurons	Dgcr8_KO	Deep_layer_neurons:Dgcr8_KO
Arglu1	-0.593157119729023	7.0215708486196	5.59175229461642	0.0180452354946341	0.662205249978395	pseudobulk	edgeR	LRT	Deep_layer_neurons	Dgcr8_KO	Deep_layer_neurons:Dgcr8_KO
Rala	-0.735101875872286	6.31777985333239	5.5899812925528	0.0180634890842542	0.662205249978395	pseudobulk	edgeR	LRT	Deep_layer_neurons	Dgcr8_KO	Deep_layer_neurons:Dgcr8_KO
Dph6	-0.639781126578321	6.69358526366294	5.57265304304336	0.0182430991861647	0.662205249978395	pseudobulk	edgeR	LRT	Deep_layer_neurons	Dgcr8_KO	Deep_layer_neurons:Dgcr8_KO
