gene	logFC	logCPM	LR	PValue	FDR	de_family	de_method	de_type
Tshz3	0.019354217	6.945010052	0.294562118	0.587311741	0.818004225	pseudobulk	edgeR	LRT
Dynll2	0.032615076	4.598298586	0.293416579	0.588039379	0.81835015	pseudobulk	edgeR	LRT
Ybx3	-0.025786984	5.425980474	0.293249413	0.588145716	0.81837138	pseudobulk	edgeR	LRT
Gm28175	0.03066256	4.725989418	0.292307822	0.588745405	0.81892552	pseudobulk	edgeR	LRT
Kdm1a	-0.018650529	6.476516127	0.291189672	0.589459168	0.819393926	pseudobulk	edgeR	LRT
Cdk7	-0.029146605	5.019480472	0.290726687	0.589755228	0.819582357	pseudobulk	edgeR	LRT
Stx18	-0.021269675	6.107010712	0.290169742	0.590111776	0.819891003	pseudobulk	edgeR	LRT
Elp1	-0.022494776	5.81977857	0.290004588	0.59021759	0.81994461	pseudobulk	edgeR	LRT
Nsmf	0.020876362	6.163688828	0.289570476	0.590495911	0.8200001	pseudobulk	edgeR	LRT
Supt20	-0.025248424	5.501999222	0.289363223	0.590628881	0.820002258	pseudobulk	edgeR	LRT
Rpl17	-0.031404061	4.680921914	0.288336263	0.59128867	0.820734924	pseudobulk	edgeR	LRT
Iffo1	-0.023883332	5.531517539	0.287983442	0.591515695	0.820906397	pseudobulk	edgeR	LRT
Wdpcp	-0.018853544	6.408259921	0.285250654	0.593280223	0.821959871	pseudobulk	edgeR	LRT
Ap5m1	0.033222655	4.622427343	0.285241662	0.593286047	0.821959871	pseudobulk	edgeR	LRT
Camkv	0.018609519	6.770953339	0.285190128	0.593319426	0.821959871	pseudobulk	edgeR	LRT
Edem3	0.022156283	5.7433162	0.283858454	0.594183329	0.822549363	pseudobulk	edgeR	LRT
Usp40	0.022311069	5.758612639	0.28326936	0.594566325	0.822878982	pseudobulk	edgeR	LRT
Elp2	-0.025634805	5.400253401	0.283010545	0.594734754	0.822939081	pseudobulk	edgeR	LRT
Zfp738	-0.026681146	5.416636179	0.282905981	0.594802829	0.82298659	pseudobulk	edgeR	LRT
Glmn	-0.022415286	5.73279218	0.281084274	0.595991424	0.824023513	pseudobulk	edgeR	LRT
Phkg2	0.028672714	4.995216424	0.280675505	0.596258808	0.824253038	pseudobulk	edgeR	LRT
Kdm4b	0.021784387	5.953778628	0.277809485	0.598140565	0.8260117	pseudobulk	edgeR	LRT
Rmdn1	-0.018211241	6.489813189	0.275910979	0.599393917	0.826946631	pseudobulk	edgeR	LRT
Ccdc28a	0.029073766	4.958627228	0.275662259	0.599558524	0.827126945	pseudobulk	edgeR	LRT
Ephx4	-0.021427249	5.909621389	0.275179315	0.599878415	0.827474654	pseudobulk	edgeR	LRT
Yipf5	-0.027837595	5.046190686	0.275019207	0.599984546	0.827494469	pseudobulk	edgeR	LRT
AW549877	0.030600601	4.647667822	0.274912122	0.600055551	0.827503206	pseudobulk	edgeR	LRT
Clns1a	0.030237747	4.70478125	0.274780792	0.600142657	0.827503206	pseudobulk	edgeR	LRT
Mdn1	-0.019335062	6.295176528	0.272720524	0.601512633	0.82869789	pseudobulk	edgeR	LRT
Senp2	0.021437387	5.999054999	0.272602862	0.601591071	0.82871234	pseudobulk	edgeR	LRT
Srgap2	0.013892598	7.843411918	0.272048184	0.601961131	0.829034832	pseudobulk	edgeR	LRT
Senp6	-0.016935073	6.879471847	0.270726567	0.602844801	0.829870826	pseudobulk	edgeR	LRT
Rnft1	0.024120218	5.598475741	0.269596338	0.60360268	0.830545303	pseudobulk	edgeR	LRT
Ptchd1	0.020382437	6.017276844	0.269385612	0.603744207	0.830646325	pseudobulk	edgeR	LRT
Ube2w	0.017259188	7.031699028	0.269022001	0.603988578	0.830841947	pseudobulk	edgeR	LRT
Rab21	0.028655281	4.810743021	0.268179886	0.604555341	0.831378319	pseudobulk	edgeR	LRT
Cul9	0.022075491	5.995090206	0.268109998	0.604602429	0.831378319	pseudobulk	edgeR	LRT
Xkr4	-0.010788925	10.54534534	0.267980792	0.604689502	0.831384157	pseudobulk	edgeR	LRT
Rad17	-0.027193729	4.998998463	0.267447933	0.605048881	0.831751132	pseudobulk	edgeR	LRT
Arhgap39	0.015763623	7.25388178	0.266293212	0.605829226	0.832622633	pseudobulk	edgeR	LRT
Gm20642	0.028538471	4.841995326	0.265851605	0.606128225	0.832935241	pseudobulk	edgeR	LRT
Dock7	0.014688578	7.602377952	0.265481995	0.606378718	0.833096187	pseudobulk	edgeR	LRT
Psmc1	0.0276638	4.9336345	0.265156529	0.606599477	0.833258753	pseudobulk	edgeR	LRT
Sacm1l	0.018805478	6.477043923	0.265055777	0.60666785	0.833258753	pseudobulk	edgeR	LRT
Dync1li2	0.019595782	6.209419714	0.264681673	0.606921873	0.833560716	pseudobulk	edgeR	LRT
Ube2n	-0.028799788	4.858954309	0.264174431	0.60726666	0.833940344	pseudobulk	edgeR	LRT
Scaper	0.014106475	7.898102515	0.263452049	0.607758408	0.834333697	pseudobulk	edgeR	LRT
Nav2	-0.013125778	9.26010502	0.261092577	0.609370532	0.835935325	pseudobulk	edgeR	LRT
Rp9	0.023763166	5.48712887	0.26063194	0.609686336	0.836235415	pseudobulk	edgeR	LRT
Sugt1	0.027233487	5.018857644	0.258420815	0.611207157	0.837616325	pseudobulk	edgeR	LRT
Ptk2	0.011868901	8.985689909	0.258410829	0.611214044	0.837616325	pseudobulk	edgeR	LRT
Map4k2	0.032098653	4.546981115	0.257549657	0.611808593	0.838336902	pseudobulk	edgeR	LRT
Naa15	0.020092862	6.099546911	0.257097255	0.61212143	0.838577136	pseudobulk	edgeR	LRT
Kcnh3	0.024952683	5.251710523	0.256783553	0.612338558	0.838733273	pseudobulk	edgeR	LRT
Mettl23	-0.029785176	4.675355414	0.256267764	0.612695924	0.83908141	pseudobulk	edgeR	LRT
Hgsnat	-0.030635344	4.527306058	0.255899322	0.612951477	0.839174844	pseudobulk	edgeR	LRT
Nup205	0.024774137	5.180514854	0.254551804	0.613888092	0.839959519	pseudobulk	edgeR	LRT
Stx3	0.022945842	5.439247404	0.253185532	0.614840924	0.840791603	pseudobulk	edgeR	LRT
Cd46	0.01866621	6.398108829	0.25304009	0.614942545	0.840883426	pseudobulk	edgeR	LRT
Gm10033	0.026363244	5.584007095	0.252975094	0.614987969	0.840898399	pseudobulk	edgeR	LRT
Map2k2	-0.017943655	6.385484153	0.2525231	0.615304062	0.84109486	pseudobulk	edgeR	LRT
Cttnbp2nl	-0.03063644	4.602584449	0.251942238	0.615710796	0.841415079	pseudobulk	edgeR	LRT
Thoc7	0.029467201	4.706235912	0.25116834	0.616253612	0.84200515	pseudobulk	edgeR	LRT
Cfap36	0.022061945	5.578582085	0.248897718	0.6178523	0.843679858	pseudobulk	edgeR	LRT
Zkscan2	-0.024326271	5.376588176	0.247813163	0.618619123	0.844443318	pseudobulk	edgeR	LRT
Sar1b	0.027838493	4.891312079	0.246618457	0.619466255	0.845315855	pseudobulk	edgeR	LRT
Orc4	0.017139101	6.627706172	0.245728885	0.620098688	0.845989552	pseudobulk	edgeR	LRT
Wwc1	-0.018405216	6.413876147	0.245292747	0.620409278	0.846318612	pseudobulk	edgeR	LRT
Zfp60	0.030276702	4.517557683	0.24507606	0.620563716	0.846339959	pseudobulk	edgeR	LRT
Rac1	0.025780328	4.975119784	0.244012412	0.621323041	0.847233431	pseudobulk	edgeR	LRT
Nyap2	0.012924899	8.90167021	0.243898367	0.621404579	0.847297249	pseudobulk	edgeR	LRT
