gene	logFC	logCPM	LR	PValue	FDR	de_family	de_method	de_type
Hexdc	-0.020932501	4.894754726	0.118562905	0.730598392	0.911648074	pseudobulk	edgeR	LRT
Cdh8	-0.015034133	8.709877794	0.118512833	0.730653072	0.911648074	pseudobulk	edgeR	LRT
Ctsf	-0.021668543	4.682596035	0.117999917	0.731213947	0.912240463	pseudobulk	edgeR	LRT
Rufy1	0.018793497	5.327944342	0.117476438	0.731787778	0.912722877	pseudobulk	edgeR	LRT
Psmd11	-0.01632802	5.753625624	0.116448149	0.732919151	0.913666658	pseudobulk	edgeR	LRT
Hps3	-0.024541487	4.527144539	0.116376025	0.732998714	0.913719131	pseudobulk	edgeR	LRT
Cdk7	0.020744886	5.041405596	0.115783232	0.733653695	0.91425518	pseudobulk	edgeR	LRT
Arsb	0.012254925	6.949365614	0.115649269	0.733801971	0.914346503	pseudobulk	edgeR	LRT
Spag6l	0.0212942	4.696076525	0.1145446	0.735028333	0.91505549	pseudobulk	edgeR	LRT
Slc33a1	0.021184524	4.830374818	0.113792891	0.735866625	0.915460141	pseudobulk	edgeR	LRT
Dapk1	-0.010084185	7.901757347	0.112507209	0.737307572	0.91651349	pseudobulk	edgeR	LRT
Rab34	-0.022922614	4.656173555	0.111840017	0.738058949	0.917120234	pseudobulk	edgeR	LRT
Camk2b	0.009790438	7.795773299	0.111791876	0.738113261	0.917140987	pseudobulk	edgeR	LRT
Bivm	-0.020967695	4.63188771	0.111751308	0.738159038	0.917151134	pseudobulk	edgeR	LRT
Pign	-0.014898357	6.050608251	0.111681028	0.738238366	0.917156234	pseudobulk	edgeR	LRT
Atxn10	0.010552276	7.482915639	0.111539049	0.738398708	0.917225907	pseudobulk	edgeR	LRT
Deaf1	0.017394227	5.433560806	0.110093264	0.740037981	0.918502884	pseudobulk	edgeR	LRT
Prpf40b	0.015875881	5.62584634	0.109838898	0.740327623	0.918618214	pseudobulk	edgeR	LRT
Arhgef4	-0.016789525	5.537818472	0.109762207	0.740415023	0.91864355	pseudobulk	edgeR	LRT
Pebp1	-0.021005038	4.623787486	0.109511439	0.740701042	0.918791284	pseudobulk	edgeR	LRT
Bdp1	0.012449067	6.58718641	0.109370032	0.740862488	0.918791284	pseudobulk	edgeR	LRT
Mphosph8	0.017270657	5.697652531	0.109094871	0.741176975	0.918791284	pseudobulk	edgeR	LRT
