gene	logFC	logCPM	LR	PValue	FDR	de_family	de_method	de_type
1110051M20Rik	0.009679915	7.057351172	0.024858697	0.874719671	1	pseudobulk	edgeR	LRT
Tarbp1	0.017254388	4.645743228	0.024789754	0.874892083	1	pseudobulk	edgeR	LRT
Usp3	-0.011746187	5.877661185	0.02472301	0.875059233	1	pseudobulk	edgeR	LRT
Cdc37	0.016984712	4.602073007	0.024676447	0.875175979	1	pseudobulk	edgeR	LRT
Kansl1	-0.008147937	8.365923926	0.024578845	0.875421061	1	pseudobulk	edgeR	LRT
Sf3b2	-0.013523556	5.666534234	0.024575224	0.875430162	1	pseudobulk	edgeR	LRT
Ccnk	0.018339197	4.527456556	0.024562887	0.875461179	1	pseudobulk	edgeR	LRT
Ablim2	-0.009478434	7.272541985	0.024533151	0.87553597	1	pseudobulk	edgeR	LRT
Ica1	0.00893166	8.153511194	0.024472892	0.875687676	1	pseudobulk	edgeR	LRT
Ist1	-0.011842821	5.95458705	0.024441946	0.875765657	1	pseudobulk	edgeR	LRT
Pdpr	-0.013164224	5.386322606	0.024431799	0.87579124	1	pseudobulk	edgeR	LRT
Lta4h	0.012410314	5.717554898	0.024367904	0.875952446	1	pseudobulk	edgeR	LRT
Uvrag	0.009758173	6.982654416	0.024296377	0.876133167	1	pseudobulk	edgeR	LRT
Pus10	-0.013056548	5.599544968	0.024251645	0.876246326	1	pseudobulk	edgeR	LRT
Numb	0.010178465	6.902013951	0.024238322	0.876280049	1	pseudobulk	edgeR	LRT
Gstz1	-0.013851371	5.449539661	0.024173975	0.87644306	1	pseudobulk	edgeR	LRT
Snhg11	-0.007324262	12.21132162	0.02416123	0.876475374	1	pseudobulk	edgeR	LRT
Ddx41	0.015462204	4.993031051	0.024085953	0.876666409	1	pseudobulk	edgeR	LRT
Gabpb1	-0.016050825	5.083277936	0.024068844	0.876709871	1	pseudobulk	edgeR	LRT
Poc5	-0.017723788	4.601121114	0.023637091	0.877811914	1	pseudobulk	edgeR	LRT
Nrcam	0.007866933	8.741111131	0.023549343	0.878037147	1	pseudobulk	edgeR	LRT
Gucy1a1	-0.019624132	5.030656727	0.023391725	0.878442804	1	pseudobulk	edgeR	LRT
Zfp426	-0.013745575	5.824793732	0.023387647	0.878453317	1	pseudobulk	edgeR	LRT
Rock1	0.009892948	7.153418157	0.023230676	0.878858738	1	pseudobulk	edgeR	LRT
