gene	logFC	logCPM	LR	PValue	FDR	de_family	de_method	de_type	cell_type
Gm28077	1.51879576049688	-1.13384685777624	11.9125867876369	0.000557559206588627	0.016920648307564	pseudobulk	edgeR	LRT	Supp_layer_neurons
Ccdc6	-0.597596230569503	5.72401778503652	11.8831764362114	0.000566432563423449	0.0171681474292882	pseudobulk	edgeR	LRT	Supp_layer_neurons
Etaa1os	0.947233339992641	0.210867164752076	11.8690364527386	0.000570749336857785	0.0172770881539457	pseudobulk	edgeR	LRT	Supp_layer_neurons
Gm49678	-0.544996491529389	8.04314936614106	11.8613692663427	0.000573103913088612	0.0173264310715563	pseudobulk	edgeR	LRT	Supp_layer_neurons
Pou3f4	-1.59961287155736	-1.68532375771866	11.8525415715631	0.000575827028483584	0.0173867772211571	pseudobulk	edgeR	LRT	Supp_layer_neurons
Hpcal4	-0.540270089736286	5.32212397991311	11.8499235593594	0.0005766371264754	0.0173892815164347	pseudobulk	edgeR	LRT	Supp_layer_neurons
Tmcc3	-0.73436748432079	3.01832388250448	11.8462703982899	0.000577769456671548	0.0174014846181907	pseudobulk	edgeR	LRT	Supp_layer_neurons
Ndufa8	-1.11013237896035	4.24157037990426	11.8408077758941	0.000579466835663445	0.017430653972397	pseudobulk	edgeR	LRT	Supp_layer_neurons
Asah2	0.763667773467789	2.16675366798515	11.8383060471652	0.000580245867978844	0.0174321604106106	pseudobulk	edgeR	LRT	Supp_layer_neurons
Lrrc55	0.588342330377624	2.85167359940297	11.8341078808771	0.000581555543881446	0.0174472284453841	pseudobulk	edgeR	LRT	Supp_layer_neurons
Icam5	-0.467090711335244	6.72394613212065	11.8312281252092	0.000582455648940236	0.0174472284453841	pseudobulk	edgeR	LRT	Supp_layer_neurons
Xkr7	-0.672630538888444	2.93457281690462	11.8286994346456	0.000583247183871163	0.0174472284453841	pseudobulk	edgeR	LRT	Supp_layer_neurons
Gm28800	0.799781744811237	0.644863789932456	11.827363654058	0.000583665750451924	0.0174472284453841	pseudobulk	edgeR	LRT	Supp_layer_neurons
E2f3	-0.404053485381759	5.98549210037024	11.8197836486463	0.000586046694084676	0.0174965301402509	pseudobulk	edgeR	LRT	Supp_layer_neurons
Ptpro	-1.31123038609293	4.62152050483922	11.8131851815489	0.000588127311474912	0.0175367537738292	pseudobulk	edgeR	LRT	Supp_layer_neurons
Ifit3	3.16070367723257	-0.832481294974596	11.8082008358861	0.000589703910527984	0.0175589064816156	pseudobulk	edgeR	LRT	Supp_layer_neurons
Gm13589	0.908722921264957	0.180487414972794	11.8061976262232	0.000590338747646521	0.0175589064816156	pseudobulk	edgeR	LRT	Supp_layer_neurons
2810429I04Rik	1.00025628901467	1.35587206913207	11.7965052040364	0.000593420133783556	0.0176032749149284	pseudobulk	edgeR	LRT	Supp_layer_neurons
Agxt2	1.29082282818834	-1.35907318838922	11.7964958188796	0.000593423125341826	0.0176032749149284	pseudobulk	edgeR	LRT	Supp_layer_neurons
Oasl2	5.19142931603074	-0.136010198525775	11.7945654639563	0.000594038757896932	0.0176032749149284	pseudobulk	edgeR	LRT	Supp_layer_neurons
Alkal2	-1.59627139423082	-0.52079725008972	11.7885704438875	0.000595954815997384	0.0176381973635661	pseudobulk	edgeR	LRT	Supp_layer_neurons
Plxdc1	0.651853099264621	4.05568149981466	11.7824983049311	0.000597901883705209	0.0176739501198101	pseudobulk	edgeR	LRT	Supp_layer_neurons
Gm16214	-0.88858605255965	0.651901407259663	11.7665457749424	0.000603047819808153	0.0178040562504841	pseudobulk	edgeR	LRT	Supp_layer_neurons
